Spanish,Swedish
aceptar,acceptera
permitir/dejar,tillåta
preguntar,fråga
creer,tro
prestar,låna
romper,ta sönder
traer,ta med
comprar,köpa
poder,kan
cancelar,avsluta
encanta,älska
cambiar,ändra
limpiar,städa
peinar,kamma
quejarse,klaga
toser,hosta
contar,räkna
cortar,klippa
bailar,dansa
dibujar,rita/illustrera
beber,dricka
conducir,"köra, leda"
comer,äta
explicar,förklara
caerse,falla
llenar,fylla
encontrar,hitta
terminar,avsluta
reparar,fixa
volar,flyga
olvidar,glömma
dar,ge
ir,"gå, åka"
tener,ha
oir,"höra, lyssna"
"dañar, herir",skada
saber/conocer,veta
aprender,lära
salir/marcharse,lämna
escuchar,lyssna
vivir,bo
mirar,"titta, se"
perder,förlora
hacer,göra
necesitar,behöver
abrir,öppna
cerrar,stänga
organizar,organisera
pagar,betala
jugar,"leka, spela"
poner,"lägga, placera"
llover,regna
leer,läsa
responder,svara
correr,springa
decir,säga
ver,se
vender,sälja
enviar,skicka
firmar,"skriva på, signera"
cantar,sjunga
sentarse,sitta
dormir,sova
fumar,röka
hablar,tala
deletrear,stava
gastar,spendera
ponerse de pie,stå
comenzar,"starta, börja"
estudiar,studera
tener exito,lyckas
nadar,simma
tomar,ta
hablar,"tala, prata"
enseñar,"lära, undervisa"
decir,berätta
pensar,tänka
traducir,översätta
viajar,resa
intentar,försöka
apagar,stänga av
encender,sätta på
entender,förstå
utilizar/usar,använda
esperar,vänta
despertar,vakna
querer/desear,vill ha
mirar,"titta, se, betrakta"
trabajar,jobba
preocuparse,oroa
escribir,skriva
haber,ha
recibir,få
bajar,kliva ner
cocinar,laga 
conversar,prata
cooperar,samarbeta
dibujar,rita/illustrera
preparar,förbereda
sacar,ta ut
sumar,addera
comprender,förstå
correr,springa
creer,tro på
temer,vara rädd för
compartir,att dela på
cubrir,täcka över
decidir,bestämma
discutir,diskutera
repartir,fördela
subir,klättra upp
sufrir,lida
dar,ge
estar,vara rädd för
valer,vara värd
componer,komponera
deshacer,ångra
disponer,arrangera
distraer(se),distrahera
proponer,föreslå
rehacer,återskapa
reponer,ersätta
suponer,anta att
agradecer,"tacka, tacksam"
aparecer,visas
complacer,glädja
crecer,växa
establecer,etablera
merecer,förtjäna
ofrecer,erbjuda
padecer,lida
permanecer,"vara kvar, stanna"
pertenecer,tillhöra
reconecer,känna igen
producir,producera
venir,komma
contener,innehålla
mantener,underhålla
obtener,att få
retener,behålla
coger,"fånga, ta"
exigir,kräva
encoger,krympa
escoger,välja
proteger,beskydda
recojer,"ta upp, lyfta"
dirigir,dirigera
fingir,låtsas
distinguir,skilja på
extinguir,släcka
convencer,övertala
vencer,besegra
elegir,rätta
torcer,vrida
dar un abrazo,krama
dar gritos,skrika
dar la hora,slår
hay que,måste
haber sol,soligt
haber neblina,dimmigt
hace calor,varmt
hacer viento,blåsigt
hace un viaje,resa
hacer una visita,besöka
hacer daño,"skada, göra sönder"
hacer caso a,ta hänsyn till
hacer el papel de,ha rollen av
tener frio,frysa
tener hambre,hungrig
tener miedo,vara rädd för
tener razón,ha rätt
tener sed,törstig
tener prisa,ha bråttom
tener la culpa,vara skyldig
tener lugar,äger rum
cerrar,stänga
querer,"älska, vill ha"
acertar,gissa
atravesar,gå över
comenzar,"påbörja, starta"
confesar,erkänna
despertar(se),vakna
empezar,"påbörja, starta"
encerrar,låsa in
fregar,"diska, skrubba"
gobernar,styra
helar,frysa in
negar,neka
nevar,snöa
pensar(en),tänka på
recomendar,rekommendera
remendar,laga
sentar(se),sitta
tropezar(con),snubbla
defender,"beskydda, skydda"
descender,gå ned för 
encender,belysa
entender,förstå
perder,"förlora, missa"
contar,"räkna, berätta, återberätta"
volver,återvända
acordar de,"komma ihåg, minnas"
acostar,lägga sig
almorzar,äta lunch
aprobar,godkänna
colgar,lägga på
costar,kostar
demostrar,"demonstrera, bevisa"
encontrar,hitta
jugar,spela
mostrar,visas
provar,"testa, smaka, prova"
recordar,"komma ihåg, minnas"
rogar,be om
sonar,"ringa, låta"
soñar,drömma
tronar,åska
volar,flyga
conmover,berör
devolver,"återlämna, lämna tillbaka"
doler,skada
morder,bita
mover,flytta
oler,lukta
resolver,lösa
revolver,skaka
soler,vara van vid
preferir,föredra
advertir,varna
convertir,konvertera
divertir,ha roligt
hervir,koka
mentir,ljuga
presentir,förutse
referir,hänvisa
sentir,ångra
sentir(se),känna 
despedir,"sparka, avskeda"
despedir(se),"ta farväl, säga hejdå"
impedir,förhindra
medir,mäta
perseguir,följa
reírse,skratta åt
repetir,repetera
seguir,"följa, fortsätta"
servir,"servera, tjäna"
sonreír,le
vestir,klä på sig
incluir,inkludera
concluir,dra slutsatsen
contribuir,bidra
destruir,förstöra
distribuir,distribuera
huir,fly
influir,"influera, påverka"
sustituir,ersätta